MAFF code,Description,Fat,Saturated fat,Monounsaturated fat,Polyunsaturated fat,Carbohydrate,Energy,Sodium,Total sugar,Added sugar,Alcohol,Fibre,Cholesterol,Protein,NPM score
14803,Low fat spreads,42.633699,10.319811,16.059757,14.304982,2.341874,394.01258,0.635137,0.602371,0,0,0,3.08807,0.40271,21
14805,Suet and dripping,90.322111,50.131676,33.141928,2.540683,8.767668,846.76839,0.005842,0.18767,0,0,0,70.317509,0.24675,20
14807,Imitatation cream,34.665521,28.609651,3.070408,1.252717,26.71874,425.02908,0.113169,25.041564,23.129864,0,0.048125,5.718493,3.21103,19
15001,Sugar,0,0,0,0,104.72927,392.76402,0.006902,104.72927,104.72927,0,0,0,0.00732,14
15101,Jams and fruit curds,0.35461,0.096248,0.126262,0.072113,65.417001,250.38806,0.026749,63.83544,59.927109,0,1.125342,3.971632,0.4707,12
15201,Marmalade,0,0,0,0,69.5,261.025,0.064,69.5,66.2,0,0.6,0,0.1,13
15301,"Syrup, treacle",0,0,0,0,77.393135,291.91449,0.257744,77.393135,77.393135,0,0,0,0.42256,15
15401,Honey,0,0,0,0,76.4,288.1,0.011,76.4,76.4,0,0,0,0.4,13
15504,Fresh potatoes not specified elsewhere,0.085,0.021723,0.0085,0.008045,16.66,69.540625,0.00136,0.765,0,0,0,0,1.615,-1
15505,Fresh new potatoes,0.267,0.0534,0.0089,0.1602,14.329,62.18875,0.00979,1.157,0,0,0,0,1.513,0
15506,Fresh baking potatoes,0.085,0.021723,0.0085,0.008045,16.66,69.540625,0.00136,0.765,0,0,0,0,1.615,-1
16201,Fresh cabbages,0.257328,0.03685,0.025733,0.161079,3.506458,23.777739,0.007398,3.460395,0,0,2.276297,0,2.05154,-4
16301,Fresh brussels sprouts,0.966,0.19941,0.07728,0.496938,2.829,28.96275,0.00414,2.277,0,0,2.622,0,2.415,-4
16401,Fresh cauliflower,0.295059,0.068646,0.028113,0.138746,2.244321,19.047787,0.004804,1.995782,0,0,1.624976,0,2.00798,-3
16701,Lettuce and leafy salads,0.151262,0.0223,0.016289,0.091022,1.130799,9.466744,0.007259,1.129924,0,0,1.137608,0,0.95802,-1
16702,Prepared lettuce salads,0.105382,0.015808,0.014519,0.063274,1.127091,9.193436,0.007666,1.127091,0,0,1.102836,0,0.99494,-1
16801,Fresh peas,0.379474,0.126581,0.10078,0.076452,4.148674,30.533623,0.001349,2.366376,0,0,2.543126,0,2.89021,-4
16901,Fresh beans,0.31769,0.061354,0.017654,0.171421,2.481498,17.961524,5.88E-05,1.833685,0,0,2.010933,0,1.43557,-2
17101,Other fresh green vegetables,0.652624,0.087964,0.052446,0.376407,1.397738,20.298127,0.072011,1.232342,0,0,2.912747,0,2.29575,-5
17201,Fresh carrots,0.284,0.07171,0.077393,0.055742,5.396,24.211,0.01917,5.325,0,0,1.846,0,0.355,-1
17301,Fresh turnips and swede,0.219621,0.027327,0.018302,0.131772,3.63707,17.727455,0.010981,3.556105,0,0,1.764723,0,0.52796,-2
17401,Other fresh root vegetables,0.459703,0.101302,0.167506,0.096471,9.687068,45.05764,0.021641,4.419566,0,0,2.37632,0,1.14845,-3
17501,"Fresh onions, leeks and shallots",0.164566,0.025331,0.019698,0.070989,6.077946,28.050028,0.002702,6.045148,0,0,1.449733,0,0.94416,-1
17601,Fresh cucumbers,0.5796,0.17388,0.00276,0.23,1.104,13.0364,0.00368,1.104,0,0,0.644,0,0.92,0
17701,Fresh mushrooms,0.192,0.04608,0.00384,0.10368,0.288,6.72,0.004224,0.288,0,0,2.208,0,0.96,-3
17801,Fresh tomatoes,0.167123,0.033425,0.038995,0.09107,3.060199,15.180517,0.002113,3.060199,0,0,1.3,0,0.55619,-1
18301,"Fresh vegetable stewpack, stirfry pack etc.",0.48,0.1,0.12,0.15,5.6,30.6,0.022,3.9,0,0,3.2,0,1.32,-4
18302,Fresh stem vegetables,0.492098,0.078488,0.109205,0.205942,3.932007,22.483068,0.032476,1.064342,0,0,1.638927,0,0.82729,-2
18303,"Fresh marrow, courgettes, aubergine, pumpkin and other vegetables",0.240766,0.058668,0.022797,0.111162,1.541186,11.100362,9.11E-04,1.434173,0,0,1.395042,0,0.78851,-1
18304,Fresh herbs,0.987033,0.16115,0.05875,0.58349,3.162906,31.781971,0.024225,1.786097,0,0,6.271397,0,2.75944,-6
18401,"Tomatoes, canned or bottled",0.1,0.016,0.016,0.03,3.8,18.65,0.00487,3.8,0,0,0.8,0,1.1,-1
18501,"Peas, canned",0.496073,0.077553,0.094962,0.223883,10.084087,59.722513,0.119686,1.425368,0.158499,0,4.386725,0,4.36352,-6
18802,Baked beans in sauce,0.5,0.092173,0.061957,0.275444,14.967481,80.869924,0.259461,4.767481,4.263145,0,6.61084,0,5,-4
18803,Other canned beans and pulses,0.421137,0.074522,0.050594,0.206231,8.98849,53.321255,0.229839,1.441202,0,0,3.791706,0,3.94836,-5
19101,Other canned vegetables,0.457056,0.071392,0.087884,0.205119,8.527907,40.49532,0.153095,3.795403,0,0,2.568136,0,1.10054,-2
19201,"Dried pulses, other than air-dried",2.310106,0.381153,0.337734,1.131732,49.800837,297.65913,0.029423,3.160959,0,0,13.891415,0,22.52876,-7
19501,Air-dried vegetables,1.263614,0.358368,0.299793,0.354243,43.52034,230.18076,0.097846,31.922938,0,0,17.133239,0,13.90174,0
19602,Tomato puree and vegetable purees,0.17984,0.04215,0.021918,0.075308,14.4996,75.77446,0.054851,14.4996,0,0,3.1472,0,4.9456,-4
19603,"Vegetable juices e.g. tomato juice, carrot juice",0,0,0,0,3.084,14.8546,0.23644,3.084,3.084,0,0.6168,0,0.8224,2
19702,Chips - frozen or not frozen,3.60711,0.543709,1.156388,1.709853,26.205524,141.91862,0.027306,0.683329,0,0,1.9,0,2.79598,-2
19703,Takeaway chips,11.3,3.38,5.47,1.82,36.4,252,0.1045,0.4,0,0,3.2,0.9,3.5,1
19801,Instant potato,0.6,0.1551,0.0136,0.2573,74.9,319.875,1.09,4.1,0,0,14.9,0,8.4,3
19901,Canned potatoes,0.065,0.01664,0.00156,0.027365,9.815,41.29125,0.1625,0.455,0,0,1.625,0,0.975,-1
20002,Crisps and potato snacks,27.758077,3.187227,20.731773,2.651593,59.4077,493.9291,0.657419,1.173903,0,0,0,0,5.39707,13
20101,Other potato products - frozen or not frozen,7.015506,1.380209,2.152078,3.135765,23.982876,166.21473,0.28809,1.884239,1.236061,0,2.226966,6.627527,2.72447,2
20301,"Peas, frozen",0.7,0.134,0.068,0.364,10.7,68,0.00387,5.7,0,0,7,0,5.3,-7
20401,"Beans, frozen",0.146224,0.024776,0.018198,0.074052,5.31016,30.321842,0.008,2.026041,0,0,3.020183,0,2.27318,-5
20601,Ready meals and other vegetable products - frozen or not frozen,12.577103,2.323681,5.946889,3.598096,19.118661,197.7965,0.454991,4.389308,0.863523,0,1.919482,8.099767,3.2202,5
20604,All vegetable takeaway products,13.666299,2.722255,4.301253,5.666357,19.824885,181.37518,0.344005,4.72827,2.03332,0,1.288026,18.237557,3.49617,5
20801,Other frozen vegetables,1.129039,0.203813,0.186041,0.567176,8.489096,51.814591,0.055976,3.703554,0,0,3.884382,0,2.454,-6
21001,Fresh oranges,0.142,0.0284,0.0284,0.0568,5.822,25.56,4.40E-04,5.822,0,0,1.278,0,0.568,0
21401,Other fresh citrus fruits,0.115186,0.023807,0.021875,0.046493,5.772601,24.972099,0.001285,5.772601,0,0,1.251646,0,0.53262,0
21701,Fresh apples,0.141591,0.030139,0.011009,0.072851,8.998108,36.636621,0.002103,8.998108,0,0,1.59517,0,0.36309,-1
21801,Fresh pears,0.085,0.017,0.0085,0.0425,9.265,36.55,7.82E-04,9.265,0,0,2.295,0,0.255,-1
22101,Fresh stone fruit,3.295585,0.684713,2.030526,0.38434,6.586836,58.021186,0.002031,6.583573,0,0,2.220413,0,0.91507,-2
22201,Fresh grapes,0.15,0.06,0.0048,0.06,16.1,64.3,0.8,16.1,0,0,0.8,0,0.65,10
22701,Other fresh soft fruit,0.385235,0.033936,0.072418,0.201843,5.646654,27.832593,0.001508,5.646654,0,0,3.406389,0,0.76306,-3
