Age,Sodium,Fat,Protein,PA,Energy,BMI
89,3.69668022133768,176.280185197702,122.097103377046,1909.6718789718,3813.48994935475,25.8017672484993
90,3.70002398614939,176.030250444557,122.583665836799,1906.98372186007,3822.73698504189,26.2995481177464
91,3.69394551016467,176.450468872562,123.228359938497,1917.66440312647,3840.45219398672,27.0820714784004
92,3.67622391829629,177.447503293365,123.968516915261,1935.66016149532,3861.47325197315,25.8385257317165
93,3.64790644283747,178.716427980981,124.692010686328,1954.79113450578,3876.87400944457,26.2086466057111
94,3.61417428850022,179.912041844857,125.221768611876,1967.47285845618,3876.70471165875,25.2462756024268
95,3.58407635281219,180.869752768744,125.389701982564,1960.17062024378,3855.12861278121,25.2070798927641
96,3.56778831662813,181.695855769136,125.14882910259,1910.16785263769,3814.6249265832,27.8240788679061
97,3.57123048393526,182.578344774437,124.62523277078,1792.42934248708,3765.77097696631,24.2817910528346
98,3.59128599583116,183.500924159073,124.035905506213,1594.394404806,3721.60150007523,26.9044484001295
99,3.61569444762919,184.125542461469,123.548544857611,1330.076263365,3690.45888527599,25.8537531289134
100,3.61569444762919,184.125542461469,123.548544857611,1330.076263365,3690.45888527599,25.8537531289134
