Age,Sodium,Protein,Fat,PA,Energy,BMI
30,0.00588067528713676,4.37704041307379,1.08116313890304,89.3225471130895,88.8453061838109,-0.286739950954942
31,-0.0288939197159035,3.45346428432475,0.0372526320860516,80.5803447214585,83.5139980157328,-0.363715634821073
32,-0.0610479102318244,2.56367278842495,-0.907621286821552,69.6796737236805,78.309028405185,-0.430096149095831
33,-0.0900367448755102,1.72999859826686,-1.74784790577397,56.9205817271891,73.5072104775945,-0.485309407047367
34,-0.115522523205548,0.970082138421674,-2.48254540502083,42.7508458326133,69.322008269567,-0.529436388379665
35,-0.137326148576394,0.297475862905799,-3.11308935708732,27.7557063783211,65.9017117884396,-0.562972369183306
36,-0.15538275254274,-0.277901971028484,-3.64125624609773,12.6294646081146,63.3301251531529,-0.586618688056923
37,-0.169705932128529,-0.749513317564862,-4.0680611249106,-1.87223221670001,61.6296911498757,-0.601128894716688
38,-0.180363293378382,-1.11410940597898,-4.39323291780215,-14.9967302903224,60.7672564129207,-0.607218336071107
39,-0.187463280655292,-1.37171901488654,-4.61520264252275,-26.0686999328254,60.6625873271796,-0.605532545581276
40,-0.191151470304564,-1.52562334737024,-4.73146971154486,-34.5647706354052,61.1993655677315,-0.596659567203698
41,-0.19161337650423,-1.58224283378672,-4.73923390152964,-40.1774085970237,62.2379082823554,-0.581166072285153
42,-0.189080226049189,-1.55089033598964,-4.63620635171668,-42.8576727954,63.6284649227619,-0.559637158440427
43,-0.183834009207505,-1.44337279249777,-4.42152105365423,-42.8291698868488,65.2237742294128,-0.53270418175773
44,-0.176208394086966,-1.27344300382771,-4.09665293404848,-40.5696747080242,66.8896640470093,-0.501052064662687
45,-0.166582851378536,-1.05611534861919,-3.66621964093807,-36.7616825810524,68.5128047755725,-0.465405057137541
46,-0.155368600753002,-0.806868169052791,-3.13852135229018,-32.2177236820999,70.0051952858876,-0.426495982277931
47,-0.142986669507247,-0.540766246366331,-2.52567709628019,-27.7898288161405,71.305463112235,-0.385027407734427
48,-0.129840195331215,-0.271551599970365,-1.84325986960755,-24.2745795175715,72.3775020155081,-0.341633763346721
49,-0.116284723448852,-0.0107685065626413,-1.10941501066944,-22.3255114783688,73.2072730413665,-0.296851809545
50,-0.102601230895918,0.232995208820142,-0.343550862031407,-22.3833769590619,73.7987093838319,-0.251104111039751
51,-0.0889766522358544,0.454659654487358,0.435208616253306,-24.6322424295713,74.1695728605946,-0.204697296388968
52,-0.0754956961610187,0.652909781700345,1.20955176950739,-28.986059612896,74.3478343958022,-0.157834505180752
53,-0.0621459072614288,0.830089838402358,1.96521738529631,-35.1066834974085,74.3687628678372,-0.110639679309283
54,-0.0488356362037612,0.991703320865724,2.69172326621583,-42.4507507257831,74.2725147514429,-0.0631900605241675
55,-0.0354223389295951,1.14553580778687,3.38247018371175,-50.3397146589236,74.1017428676996,-0.0155521967713881
56,-0.0217469127980925,1.300474784605,4.03423994258034,-58.0448990102514,73.8986827392373,0.0321840688502313
57,-0.00766893920884115,1.46515506043343,4.64623454057062,-64.8778387863085,73.7013635626126,0.0798794699505372
58,0.006902124549792,1.64659914229563,5.21889190345195,-70.2755282012636,73.538979407771,0.127332270796604
59,0.0219836652471752,1.84903791597173,5.75273901393513,-73.8705536123175,73.4269230762948,0.174281652986295
60,0.0375066759729092,2.07308091420316,6.24750067099583,-75.5374763843379,73.3623714032756,0.220427826622764
61,0.0533127538539491,2.31535694950722,6.70158774663852,-75.4092039380675,73.3214737369472,0.265465437735461
62,0.0691598563388904,2.56867296031629,7.11197498483003,-73.8603142543984,73.2590569149015,0.309123341933237
63,0.0847343427764713,2.82265672914249,7.47438292349696,-71.4581354297925,73.1113352212624,0.351201481457331
64,0.0996667238071023,3.06477594038043,7.78363126091386,-68.8864682451026,72.8015074145651,0.391595136208213
65,0.113549269058238,3.28157755408822,8.03404249169955,-66.8507191201297,72.2474976230942,0.430298431779885
66,0.125954825972645,3.45997571338816,8.21983160544647,-65.9763640226925,71.3706234408965,0.467382356027866
67,0.136457307253045,3.58843133838781,8.33548755618725,-66.7145611225105,70.1037807112434,0.502946929665292
68,0.14465470900711,3.65790152771331,8.37619616424186,-69.2689002493798,68.3978682301658,0.537051692104441
69,0.150194829529543,3.66247742083789,8.33834328774259,-73.5553973190617,66.2255925705158,0.569632463267407
70,0.152802082038815,3.59966317177509,8.22006644625634,-79.2038403026559,63.5823712753963,0.600414818898795
71,0.152301434459912,3.47027129317715,8.02171626389361,-85.6027497451037,60.4846289105571,0.628835564057269
72,0.148633453762721,3.27792465387427,7.74599198535495,-91.9832225903961,56.9661998985312,0.653982691523286
73,0.141853683085268,3.02817261523796,7.39747961985628,-97.5298663295525,53.0737135273175,0.674562099891816
74,0.132110885390154,2.72725823674648,6.98138414147604,-101.501246376741,48.8617217364367,0.688896138892858
75,0.119602212672173,2.38061941472009,6.50141438072177,-103.339127957076,44.388006170037,0.694955380223746
76,0.104508522834999,1.99126383840711,5.95701849809748,-102.746360075799,39.7090941257702,0.690421428944802
77,0.0869186236151553,1.55821100996194,5.3404154912906,-99.7179630890605,34.8756647547502,0.672775534616871
78,0.0667555985447899,1.07522477785291,4.63404697942167,-94.5184136946368,29.9273456282604,0.639405458722042
79,0.0437201356362986,0.530049867878105,3.80911707091147,-87.6089005752015,24.8864289925109,0.587721475874925
80,0.0172641283308068,-0.0956915841927639,2.82576265242869,-79.5392957823301,19.7502507246304,0.515271317953545
81,-0.0133971312505694,-0.825885877214645,1.63511387370886,-70.8282134947458,14.4823017164545,0.419843097562328
82,-0.0492330297538293,-1.68865742088722,0.18312257034367,-61.8584745218141,9.00250370463618,0.299544778005778
83,-0.0913125310046623,-2.71461479721805,-1.58435523558734,-52.8130775911609,3.17743103161092,0.152848981221897
84,-0.140698743780428,-3.93486010835575,-3.7160387587372,-43.668294647362,-3.18841091660443,-0.0214063988267874
85,-0.198339416292904,-5.37902611510229,-6.25021093967669,-34.2472692931383,-10.358815697939,-0.224067296495615
86,-0.264969458545871,-7.07356188130309,-9.21108213146201,-24.3224364371208,-18.6678635985345,-0.455760876370974
87,-0.341038183807327,-9.04039526383086,-12.6071140728632,-13.7419084505009,-28.5156727959352,-0.717030191187948
88,-0.426668444108469,-11.2959867958815,-16.4314725641291,-2.54722754942577,-40.3558883862152,-1.00848408587418
89,-0.521648791474935,-13.8506883493904,-20.6643264277357,8.95007603503882,-54.6732574401876,-1.33093059476873
90,-0.625454730289602,-16.7082625431313,-25.2763379076987,20.1574300000411,-71.950590341869,-1.68545685433402
91,-0.737292029802009,-19.865423977707,-30.2324891834131,30.2652629374902,-92.6260002316776,-2.07342099967326
92,-0.85615419938871,-23.3113312232021,-35.4954096981915,38.3780785850336,-117.043408771351,-2.49633348214728
93,-0.98088716336836,-27.0270694411523,-41.0275988873822,43.6882772780064,-145.40154416553,-2.95562622198843
94,-1.11025605036828,-30.9852826602582,-46.7923110571504,45.6577129492994,-177.708488880997,-3.45233456404585
95,-1.24301091092439,-35.1502011623436,-52.7532777847415,44.1693606683752,-213.749654254473,-3.98674312515778
96,-1.37794942431094,-39.4783282230703,-58.8737742655483,39.6174907875024,-253.076383638257,-4.55806504174135
97,-1.51397500392848,-43.9199836931744,-65.1156999381736,32.9177481982697,-295.020034053701,-5.16422839357017
98,-1.65014832959885,-48.4217556780906,-71.4393006486288,25.4352216361494,-338.732598006896,-5.80183026366068
99,-1.78572966304916,-52.9297161740395,-77.8039297812917,18.8449582320329,-383.250364978051,-6.46628915034654
100,-1.92020883759965,-57.3930594185384,-84.1699017019031,14.9517891012429,-427.57274241071,-7.15218627169139
101,-2.05331992841195,-61.7676749230378,-90.5011343860318,15.5023700450379,-470.745173062494,-7.85374521365856
102,-2.18503845273853,-66.0191126633976,-96.7680098850567,22.0212934011251,-511.933897786011,-8.5653678367935
103,-2.31556043259228,-70.1244556907463,-102.949772316899,35.6959556350218,-550.481476851872,-9.28213074852795
104,-2.44526451554646,-74.0727778255192,-109.035856993724,57.323762939164,-585.93530926625,-10.0001547824064
105,-2.57466025696147,-77.8640981717632,-115.025774777261,87.3229487813264,-618.046192911794,-10.7167879589361
106,-2.70432729675026,-81.5070010422807,-120.927498219819,125.797297379961,-646.7392531881,-11.4305834518703
107,-2.83485127064512,-85.0153175975653,-126.754628499091,172.637213022095,-672.064283920739,-12.1410982556664
108,-2.96676274054563,-88.4044214173589,-132.522887552665,227.635660525877,-694.135829565224,-12.8485753446861
109,-3.10048517797317,-91.687749098671,-138.246623493389,290.597423321524,-713.074679506564,-13.5535941243478
